from,to,kind,intensity,year_start,year_end
Chŏngsu,Minjae,3,3,1907,1921
Hayun,Minjae,3,1,1902,1943
Jiurong,Tomohiko,3,1,1896,1947
Kyŏngmin,Jiurong,3,1,1895,1920
Minjae,Chŏngsu,3,3,1907,1921
Takamasa,Kei,3,2,1898,1934
Tomohiko,Jiurong,3,1,1910,1936
Wei,Guoran,3,3,1872,1920
Yoshinobu,Tomohiko,3,2,1898,1915
Chŏngsu,Yŏngsik,2,1,1919,1931
Chŏngsu,Pyŏngho,2,1,1901,1939
Guiying,Guoran,2,5,1905,1944
Hayun,Hyejin,2,1,1885,1940
Hyejin,Minjae,2,3,1885,1930
Hyejin,Sangok,2,1,1887,1947
Jiurong,Yoshinobu,2,1,1911,1928
Kyŏngmin,Tomohiko,2,1,1901,1925
Masahirō,Takamasa,2,1,1910,1918
Minjun,Hyŏnu ,2,2,1891,1932
Minjun,Hyejin,2,2,1883,1923
Wei,Xiuying,2,3,1881,1943
Wei,Guiying,2,5,1886,1935
Yoshinobu,Yōsuke,2,3,1888,1910
Kanno,Kei,3,2,1870,1914
Kei,Kanno,3,2,1870,1914
Yoshinobu,Kei,2,2,1902,1920
Songbae,Guoran,3,3,1892,1913
Yoshinobu,Michiō,2,4,1865,1945
Yoshinobu,Masahirō,2,5,1890,1951
Chŏngsu,Sunja,1,2,1906,1927
Guiying,Xiuying,1,4,1888,1945
Jiurong,Wei,1,2,1886,1932
Kyŏngmin,Yoshinobu,1,2,1920,1940
Masahirō,Senjūrō,1,4,1902,1910
Minjun,Hayun,1,1,1899,1927
Minjun,Minjae,1,1,1895,1926
Minjun,Yŏngsu,1,1,1909,1925
Senjūrō,Masahirō,1,4,1899,1938
Sunja,Chŏngsu,1,2,1906,1927
Tomohiko,Jiurong,1,1,1918,1924
Tomohiko,Wei,1,1,1914,1925
Tomohiko,Songbae,1,2,1901,1932
Tomohiko,Yoshinobu,1,1,1903,1926
Wei,Jiurong,1,2,1886,1932
Xiuying,Guiying,1,4,1888,1945
Yoshinobu,Takamasa,1,3,1870,1933
Kanno,Takamasa,3,3,1918,1938
Fumiko,Yōsuke,3,2,1870,1922
Fumiko,Hayun,3,4,1901,1930
Fumiko,Hyejin,2,1,1870,1938
Kikue,Kei,2,2,1910,1970
Zhen,Guoran,3,3,1870,1899
Zhen,Jiurong,3,5,1918,1900
Jongmyung,Sunja,3,2,1870,1938
Jongmyung,Yŏngsik,2,3,1882,1910
Pyŏngho,Jongmyung,3,3,1870,1938
Sangok,Fumiko,1,5,1890,1920
Kikue,Fumiko,3,2,1900,1910
Xiuying,Fumiko,3,3,1880,1910
